"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Chowan County, NC"	"37041"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	1940	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Chowan County, NC"	"37041"	"Hispanic or Latino"	"2135-2"			Suppressed	2508	Suppressed	Suppressed	Suppressed	Suppressed
	"Chowan County, NC"	"37041"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	256	Suppressed	Suppressed	Suppressed	Suppressed
	"Chowan County, NC"	"37041"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	756	Suppressed	Suppressed	Suppressed	Suppressed
	"Chowan County, NC"	"37041"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	24905	Suppressed	Suppressed	Suppressed	Suppressed
	"Chowan County, NC"	"37041"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	16	43755	Unreliable	9.14	Unreliable	11.04
"Total"	"Chowan County, NC"	"37041"	"Not Hispanic or Latino"	"2186-2"			17	69672	Unreliable	5.92	Unreliable	6.63
	"Chowan County, NC"	"37041"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Chowan County, NC"	"37041"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Chowan County, NC"	"37041"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Chowan County, NC"	"37041"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Chowan County, NC"	"37041"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Chowan County, NC"	"37041"					17	72180	Unreliable	5.71	Unreliable	6.33
	"Clay County, NC"	"37043"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	21	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, NC"	"37043"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	14	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, NC"	"37043"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	85	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, NC"	"37043"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	1639	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Clay County, NC"	"37043"	"Hispanic or Latino"	"2135-2"			Suppressed	1759	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, NC"	"37043"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	214	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, NC"	"37043"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	180	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, NC"	"37043"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	786	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, NC"	"37043"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	14	50918	Unreliable	7.35	Unreliable	8.42
"Total"	"Clay County, NC"	"37043"	"Not Hispanic or Latino"	"2186-2"			14	52098	Unreliable	7.18	Unreliable	8.21
	"Clay County, NC"	"37043"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Clay County, NC"	"37043"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Clay County, NC"	"37043"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Clay County, NC"	"37043"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Clay County, NC"	"37043"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Clay County, NC"	"37043"					14	53857	Unreliable	6.95	Unreliable	7.91
	"Cleveland County, NC"	"37045"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	737	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleveland County, NC"	"37045"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	439	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleveland County, NC"	"37045"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	1283	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleveland County, NC"	"37045"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	13566	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Cleveland County, NC"	"37045"	"Hispanic or Latino"	"2135-2"			Suppressed	16025	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleveland County, NC"	"37045"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1041	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleveland County, NC"	"37045"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	5233	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleveland County, NC"	"37045"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	103181	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleveland County, NC"	"37045"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	68	360000	18.89	2.29	20.35	2.56
"Total"	"Cleveland County, NC"	"37045"	"Not Hispanic or Latino"	"2186-2"			74	469455	15.76	1.83	16.99	2.05
	"Cleveland County, NC"	"37045"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cleveland County, NC"	"37045"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cleveland County, NC"	"37045"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cleveland County, NC"	"37045"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Cleveland County, NC"	"37045"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Cleveland County, NC"	"37045"					74	485480	15.24	1.77	16.44	1.98
	"Columbus County, NC"	"37047"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1297	Suppressed	Suppressed	Suppressed	Suppressed
	"Columbus County, NC"	"37047"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	419	Suppressed	Suppressed	Suppressed	Suppressed
	"Columbus County, NC"	"37047"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	1805	Suppressed	Suppressed	Suppressed	Suppressed
	"Columbus County, NC"	"37047"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	10858	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Columbus County, NC"	"37047"	"Hispanic or Latino"	"2135-2"			Suppressed	14379	Suppressed	Suppressed	Suppressed	Suppressed
	"Columbus County, NC"	"37047"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	9513	Suppressed	Suppressed	Suppressed	Suppressed
	"Columbus County, NC"	"37047"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1378	Suppressed	Suppressed	Suppressed	Suppressed
	"Columbus County, NC"	"37047"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	86783	Suppressed	Suppressed	Suppressed	Suppressed
	"Columbus County, NC"	"37047"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	48	171281	28.02	4.04	33.04	4.85
"Total"	"Columbus County, NC"	"37047"	"Not Hispanic or Latino"	"2186-2"			54	268955	20.08	2.73	23.00	3.19
	"Columbus County, NC"	"37047"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Columbus County, NC"	"37047"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Columbus County, NC"	"37047"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Columbus County, NC"	"37047"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Columbus County, NC"	"37047"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Columbus County, NC"	"37047"					55	283334	19.41	2.62	22.18	3.04
	"Craven County, NC"	"37049"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1237	Suppressed	Suppressed	Suppressed	Suppressed
	"Craven County, NC"	"37049"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	904	Suppressed	Suppressed	Suppressed	Suppressed
	"Craven County, NC"	"37049"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	3546	Suppressed	Suppressed	Suppressed	Suppressed
	"Craven County, NC"	"37049"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	31160	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Craven County, NC"	"37049"	"Hispanic or Latino"	"2135-2"			Suppressed	36847	Suppressed	Suppressed	Suppressed	Suppressed
	"Craven County, NC"	"37049"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2768	Suppressed	Suppressed	Suppressed	Suppressed
	"Craven County, NC"	"37049"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	15660	Suppressed	Suppressed	Suppressed	Suppressed
	"Craven County, NC"	"37049"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	24	114345	20.99	4.28	24.25	5.09
	"Craven County, NC"	"37049"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	91	348853	26.09	2.73	29.53	3.21
"Total"	"Craven County, NC"	"37049"	"Not Hispanic or Latino"	"2186-2"			115	481626	23.88	2.23	26.98	2.60
	"Craven County, NC"	"37049"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Craven County, NC"	"37049"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Craven County, NC"	"37049"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Craven County, NC"	"37049"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Craven County, NC"	"37049"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Craven County, NC"	"37049"					117	518473	22.57	2.09	25.60	2.44
	"Cumberland County, NC"	"37051"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	7615	Suppressed	Suppressed	Suppressed	Suppressed
	"Cumberland County, NC"	"37051"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	4417	Suppressed	Suppressed	Suppressed	Suppressed
	"Cumberland County, NC"	"37051"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	33967	Suppressed	Suppressed	Suppressed	Suppressed
	"Cumberland County, NC"	"37051"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	11	136822	Unreliable	2.42	Unreliable	2.53
"Total"	"Cumberland County, NC"	"37051"	"Hispanic or Latino"	"2135-2"			11	182821	Unreliable	1.81	Unreliable	1.94
	"Cumberland County, NC"	"37051"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	25733	Suppressed	Suppressed	Suppressed	Suppressed
	"Cumberland County, NC"	"37051"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	53645	Suppressed	Suppressed	Suppressed	Suppressed
	"Cumberland County, NC"	"37051"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	55	623615	8.82	1.19	9.16	1.26
	"Cumberland County, NC"	"37051"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	191	749896	25.47	1.84	25.49	1.91
"Total"	"Cumberland County, NC"	"37051"	"Not Hispanic or Latino"	"2186-2"			256	1452889	17.62	1.10	17.79	1.14
	"Cumberland County, NC"	"37051"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cumberland County, NC"	"37051"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cumberland County, NC"	"37051"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Cumberland County, NC"	"37051"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Cumberland County, NC"	"37051"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Cumberland County, NC"	"37051"					267	1635710	16.32	1.00	16.47	1.04
	"Currituck County, NC"	"37053"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	131	Suppressed	Suppressed	Suppressed	Suppressed
	"Currituck County, NC"	"37053"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	114	Suppressed	Suppressed	Suppressed	Suppressed
	"Currituck County, NC"	"37053"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	353	Suppressed	Suppressed	Suppressed	Suppressed
	"Currituck County, NC"	"37053"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	4066	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Currituck County, NC"	"37053"	"Hispanic or Latino"	"2135-2"			Suppressed	4664	Suppressed	Suppressed	Suppressed	Suppressed
	"Currituck County, NC"	"37053"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	655	Suppressed	Suppressed	Suppressed	Suppressed
	"Currituck County, NC"	"37053"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1240	Suppressed	Suppressed	Suppressed	Suppressed
	"Currituck County, NC"	"37053"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	7833	Suppressed	Suppressed	Suppressed	Suppressed
	"Currituck County, NC"	"37053"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	18	112383	Unreliable	3.78	Unreliable	4.33
"Total"	"Currituck County, NC"	"37053"	"Not Hispanic or Latino"	"2186-2"			18	122111	Unreliable	3.47	Unreliable	3.98
	"Currituck County, NC"	"37053"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Currituck County, NC"	"37053"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Currituck County, NC"	"37053"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Currituck County, NC"	"37053"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Currituck County, NC"	"37053"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Currituck County, NC"	"37053"					20	126775	15.78	3.53	17.76	4.04
	"Dare County, NC"	"37055"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	497	Suppressed	Suppressed	Suppressed	Suppressed
	"Dare County, NC"	"37055"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	88	Suppressed	Suppressed	Suppressed	Suppressed
	"Dare County, NC"	"37055"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	544	Suppressed	Suppressed	Suppressed	Suppressed
	"Dare County, NC"	"37055"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	11338	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Dare County, NC"	"37055"	"Hispanic or Latino"	"2135-2"			Suppressed	12467	Suppressed	Suppressed	Suppressed	Suppressed
	"Dare County, NC"	"37055"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	567	Suppressed	Suppressed	Suppressed	Suppressed
	"Dare County, NC"	"37055"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1379	Suppressed	Suppressed	Suppressed	Suppressed
	"Dare County, NC"	"37055"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	5495	Suppressed	Suppressed	Suppressed	Suppressed
	"Dare County, NC"	"37055"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	31	157941	19.63	3.53	20.42	3.83
"Total"	"Dare County, NC"	"37055"	"Not Hispanic or Latino"	"2186-2"			34	165382	20.56	3.53	21.99	3.93
	"Dare County, NC"	"37055"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Dare County, NC"	"37055"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Dare County, NC"	"37055"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Dare County, NC"	"37055"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Dare County, NC"	"37055"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Dare County, NC"	"37055"					34	177849	19.12	3.28	20.18	3.58
	"Davidson County, NC"	"37057"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3064	Suppressed	Suppressed	Suppressed	Suppressed
	"Davidson County, NC"	"37057"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1122	Suppressed	Suppressed	Suppressed	Suppressed
	"Davidson County, NC"	"37057"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	2988	Suppressed	Suppressed	Suppressed	Suppressed
	"Davidson County, NC"	"37057"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	49590	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Davidson County, NC"	"37057"	"Hispanic or Latino"	"2135-2"			Suppressed	56764	Suppressed	Suppressed	Suppressed	Suppressed
	"Davidson County, NC"	"37057"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3619	Suppressed	Suppressed	Suppressed	Suppressed
	"Davidson County, NC"	"37057"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	12268	Suppressed	Suppressed	Suppressed	Suppressed
	"Davidson County, NC"	"37057"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	78882	Suppressed	Suppressed	Suppressed	Suppressed
	"Davidson County, NC"	"37057"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	164	670973	24.44	1.91	26.89	2.16
"Total"	"Davidson County, NC"	"37057"	"Not Hispanic or Latino"	"2186-2"			168	765742	21.94	1.69	23.75	1.88
	"Davidson County, NC"	"37057"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Davidson County, NC"	"37057"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Davidson County, NC"	"37057"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Davidson County, NC"	"37057"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Davidson County, NC"	"37057"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Davidson County, NC"	"37057"					172	822506	20.91	1.59	22.56	1.76
	"Davie County, NC"	"37059"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	734	Suppressed	Suppressed	Suppressed	Suppressed
	"Davie County, NC"	"37059"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	232	Suppressed	Suppressed	Suppressed	Suppressed
	"Davie County, NC"	"37059"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	645	Suppressed	Suppressed	Suppressed	Suppressed
	"Davie County, NC"	"37059"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	12039	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Davie County, NC"	"37059"	"Hispanic or Latino"	"2135-2"			Suppressed	13650	Suppressed	Suppressed	Suppressed	Suppressed
	"Davie County, NC"	"37059"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	611	Suppressed	Suppressed	Suppressed	Suppressed
	"Davie County, NC"	"37059"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1730	Suppressed	Suppressed	Suppressed	Suppressed
	"Davie County, NC"	"37059"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	14152	Suppressed	Suppressed	Suppressed	Suppressed
	"Davie County, NC"	"37059"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	34	179067	18.99	3.26	20.38	3.70
"Total"	"Davie County, NC"	"37059"	"Not Hispanic or Latino"	"2186-2"			36	195560	18.41	3.07	19.88	3.50
	"Davie County, NC"	"37059"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Davie County, NC"	"37059"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Davie County, NC"	"37059"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Davie County, NC"	"37059"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Davie County, NC"	"37059"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Davie County, NC"	"37059"					36	209210	17.21	2.87	18.43	3.23
	"Duplin County, NC"	"37061"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3293	Suppressed	Suppressed	Suppressed	Suppressed
	"Duplin County, NC"	"37061"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1897	Suppressed	Suppressed	Suppressed	Suppressed
	"Duplin County, NC"	"37061"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	4010	Suppressed	Suppressed	Suppressed	Suppressed
	"Duplin County, NC"	"37061"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	55611	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Duplin County, NC"	"37061"	"Hispanic or Latino"	"2135-2"			Suppressed	64811	Suppressed	Suppressed	Suppressed	Suppressed
	"Duplin County, NC"	"37061"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1069	Suppressed	Suppressed	Suppressed	Suppressed
	"Duplin County, NC"	"37061"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1475	Suppressed	Suppressed	Suppressed	Suppressed
	"Duplin County, NC"	"37061"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	74398	Suppressed	Suppressed	Suppressed	Suppressed
	"Duplin County, NC"	"37061"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	15	155380	Unreliable	2.49	Unreliable	2.59
"Total"	"Duplin County, NC"	"37061"	"Not Hispanic or Latino"	"2186-2"			16	232322	Unreliable	1.72	Unreliable	1.79
	"Duplin County, NC"	"37061"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Duplin County, NC"	"37061"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Duplin County, NC"	"37061"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Duplin County, NC"	"37061"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Duplin County, NC"	"37061"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Duplin County, NC"	"37061"					16	297133	Unreliable	1.35	Unreliable	1.39
