"Year","Geographic area","Type","Subtype","Estimate","MOE"
"2014","United States","Age Group","45 to 64 years","0.6853","0.0009"
"2014","United States","Age Group","65 years and older","0.164","0.0009"
"2015","Durham","Age Group","16 to 24 years","0.5144","0.0501"
"2015","Durham","Age Group","25 to 44 years","0.8012","0.0269"
"2015","Durham","Age Group","45 to 64 years","0.7139","0.031"
"2015","Durham","Age Group","65 years and older","0.2456","0.0374"
"2015","Forsyth","Age Group","16 to 24 years","0.4364","0.0473"
"2015","Forsyth","Age Group","25 to 44 years","0.7604","0.0299"
"2015","Forsyth","Age Group","45 to 64 years","0.7124","0.0232"
"2015","Forsyth","Age Group","65 years and older","0.1565","0.0219"
"2015","Guilford","Age Group","16 to 24 years","0.4375","0.0449"
"2015","Guilford","Age Group","25 to 44 years","0.7897","0.0259"
"2015","Guilford","Age Group","45 to 64 years","0.7112","0.0211"
"2015","Guilford","Age Group","65 years and older","0.1542","0.0242"
"2015","North Carolina","Age Group","16 to 24 years","0.4753","0.0087"
"2015","North Carolina","Age Group","25 to 44 years","0.7525","0.0054"
"2015","North Carolina","Age Group","45 to 64 years","0.6685","0.0051"
"2015","North Carolina","Age Group","65 years and older","0.1518","0.0053"
"2015","United States","Age Group","16 to 24 years","0.4965","0.0017"
"2015","United States","Age Group","25 to 44 years","0.7666","0.0011"
"2015","United States","Age Group","45 to 64 years","0.6893","0.0008"
"2015","United States","Age Group","65 years and older","0.1662","0.0009"
"2016","Durham","Age Group","16 to 24 years","0.484","0.052"
"2016","Durham","Age Group","25 to 44 years","0.8216","0.0277"
"2016","Durham","Age Group","45 to 64 years","0.7168","0.0326"
"2016","Durham","Age Group","65 years and older","0.2131","0.0404"
"2016","Forsyth","Age Group","16 to 24 years","0.4333","0.0459"
"2016","Forsyth","Age Group","25 to 44 years","0.7783","0.0268"
"2016","Forsyth","Age Group","45 to 64 years","0.6952","0.0227"
"2016","Forsyth","Age Group","65 years and older","0.1667","0.0257"
"2016","Guilford","Age Group","16 to 24 years","0.4677","0.0391"
"2016","Guilford","Age Group","25 to 44 years","0.8013","0.022"
"2016","Guilford","Age Group","45 to 64 years","0.6792","0.0238"
"2016","Guilford","Age Group","65 years and older","0.17","0.0234"
"2016","North Carolina","Age Group","16 to 24 years","0.4801","0.0093"
"2016","North Carolina","Age Group","25 to 44 years","0.7599","0.0059"
"2016","North Carolina","Age Group","45 to 64 years","0.6749","0.0044"
"2016","North Carolina","Age Group","65 years and older","0.1568","0.0047"
"2016","United States","Age Group","16 to 24 years","0.5056","0.0017"
"2016","United States","Age Group","25 to 44 years","0.7734","0.0011"
"2016","United States","Age Group","45 to 64 years","0.6937","0.001"
"2016","United States","Age Group","65 years and older","0.1702","0.0009"
"2017","Durham","Age Group","16 to 24 years","0.4789","0.0499"
"2017","Durham","Age Group","25 to 44 years","0.8118","0.0278"
"2017","Durham","Age Group","45 to 64 years","0.7125","0.0323"
"2017","Durham","Age Group","65 years and older","0.1855","0.0354"
"2017","Forsyth","Age Group","16 to 24 years","0.4111","0.0454"
"2017","Forsyth","Age Group","25 to 44 years","0.7904","0.0272"
"2017","Forsyth","Age Group","45 to 64 years","0.6986","0.0268"
"2017","Forsyth","Age Group","65 years and older","0.1794","0.0253"
"2017","Guilford","Age Group","16 to 24 years","0.4715","0.0412"
"2017","Guilford","Age Group","25 to 44 years","0.8068","0.0221"
"2017","Guilford","Age Group","45 to 64 years","0.7062","0.0241"
"2017","Guilford","Age Group","65 years and older","0.2032","0.0256"
"2017","North Carolina","Age Group","16 to 24 years","0.4784","0.0099"
"2017","North Carolina","Age Group","25 to 44 years","0.7753","0.0055"
"2017","North Carolina","Age Group","45 to 64 years","0.6855","0.005"
"2017","North Carolina","Age Group","65 years and older","0.164","0.0056"
"2017","United States","Age Group","16 to 24 years","0.5095","0.0017"
"2017","United States","Age Group","25 to 44 years","0.7794","0.0009"
"2017","United States","Age Group","45 to 64 years","0.7011","0.001"
"2017","United States","Age Group","65 years and older","0.1732","0.0009"
"2006","United States","Gender","Male","0.778","0.0012"
"2006","North Carolina","Gender","Male","0.76","0.0048"
"2006","Durham","Gender","Male","0.756","0.0262"
"2006","Forsyth","Gender","Male","0.813","0.0298"
"2006","Guilford","Gender","Male","0.807","0.0191"
"2006","United States","Gender","Female","0.672","0.0012"
"2006","North Carolina","Gender","Female","0.669","0.0048"
"2006","Durham","Gender","Female","0.744","0.0274"
"2006","Forsyth","Gender","Female","0.722","0.0322"
"2006","Guilford","Gender","Female","0.696","0.0286"
"2007","United States","Gender","Male","0.776","0.0012"
"2007","North Carolina","Gender","Male","0.765","0.0048"
"2007","Durham","Gender","Male","0.754","0.0369"
"2007","Forsyth","Gender","Male","0.803","0.0238"
"2007","Guilford","Gender","Male","0.816","0.0203"
"2007","United States","Gender","Female","0.673","0.0012"
"2007","North Carolina","Gender","Female","0.664","0.0071"
"2007","Durham","Gender","Female","0.734","0.0262"
"2007","Forsyth","Gender","Female","0.682","0.0286"
"2007","Guilford","Gender","Female","0.685","0.0226"
"2008","United States","Gender","Male","0.783","0.0012"
"2008","North Carolina","Gender","Male","0.762","0.006"
"2008","Durham","Gender","Male","0.784","0.0405"
"2008","Forsyth","Gender","Male","0.783","0.0262"
"2008","Guilford","Gender","Male","0.805","0.025"
"2008","United States","Gender","Female","0.692","0.0012"
"2008","North Carolina","Gender","Female","0.686","0.006"
"2008","Durham","Gender","Female","0.738","0.0298"
"2008","Forsyth","Gender","Female","0.698","0.025"
"2008","Guilford","Gender","Female","0.71","0.0238"
"2009","United States","Gender","Male","0.741","0.0012"
"2009","North Carolina","Gender","Male","0.709","0.006"
"2009","Durham","Gender","Male","0.745","0.0357"
"2009","Forsyth","Gender","Male","0.738","0.0322"
"2009","Guilford","Gender","Male","0.755","0.0381"
"2009","United States","Gender","Female","0.67","0.0012"
"2009","North Carolina","Gender","Female","0.655","0.006"
"2009","Durham","Gender","Female","0.711","0.0381"
"2009","Forsyth","Gender","Female","0.648","0.031"
"2009","Guilford","Gender","Female","0.688","0.0214"
"2010","United States","Gender","Male","0.727","0.0012"
"2010","North Carolina","Gender","Male","0.697","0.0048"
"2010","Durham","Gender","Male","0.726","0.0369"
"2010","Forsyth","Gender","Male","0.746","0.0298"
"2010","Guilford","Gender","Male","0.74","0.031"
"2010","United States","Gender","Female","0.658","0.0012"
"2010","North Carolina","Gender","Female","0.636","0.006"
"2010","Durham","Gender","Female","0.67","0.0334"
"2010","Forsyth","Gender","Female","0.655","0.0274"
"2010","Guilford","Gender","Female","0.669","0.0226"
"2011","United States","Gender","Male","0.731","0.0012"
"2011","North Carolina","Gender","Male","0.704","0.0071"
"2011","Durham","Gender","Male","0.721","0.0369"
"2011","Forsyth","Gender","Male","0.749","0.031"
"2011","Guilford","Gender","Male","0.753","0.0286"
"2011","United States","Gender","Female","0.655","0.0012"
"2011","North Carolina","Gender","Female","0.638","0.0071"
"2011","Durham","Gender","Female","0.712","0.0369"
"2011","Forsyth","Gender","Female","0.648","0.0298"
"2011","Guilford","Gender","Female","0.658","0.0286"
"2012","United States","Gender","Male","0.739","0.0012"
"2012","North Carolina","Gender","Male","0.706","0.006"
"2012","Durham","Gender","Male","0.734","0.031"
"2012","Forsyth","Gender","Male","0.733","0.025"
"2012","Guilford","Gender","Male","0.755","0.0203"
"2012","United States","Gender","Female","0.66","0.0012"
"2012","North Carolina","Gender","Female","0.642","0.0048"
"2012","Durham","Gender","Female","0.721","0.0274"
"2012","Forsyth","Gender","Female","0.636","0.025"
"2012","Guilford","Gender","Female","0.657","0.0262"
"2013","United States","Gender","Male","0.745","0.0012"
"2013","North Carolina","Gender","Male","0.713","0.0048"
"2013","Durham","Gender","Male","0.753","0.0298"
"2013","Forsyth","Gender","Male","0.753","0.0274"
"2013","Guilford","Gender","Male","0.752","0.0226"
"2013","United States","Gender","Female","0.664","0.0012"
"2013","North Carolina","Gender","Female","0.654","0.0048"
"2013","Durham","Gender","Female","0.727","0.0369"
"2013","Forsyth","Gender","Female","0.685","0.025"
"2013","Guilford","Gender","Female","0.668","0.025"
"2014","United States","Gender","Male","0.754","0.0012"
"2014","North Carolina","Gender","Male","0.726","0.0048"
"2014","Durham","Gender","Male","0.724","0.0357"
"2014","Forsyth","Gender","Male","0.754","0.0274"
"2014","Guilford","Gender","Male","0.772","0.0214"
"2014","United States","Gender","Female","0.671","0.0012"
"2014","North Carolina","Gender","Female","0.658","0.006"
"2014","Durham","Gender","Female","0.71","0.0298"
"2014","Forsyth","Gender","Female","0.655","0.0262"
"2014","Guilford","Gender","Female","0.675","0.0238"
"2015","United States","Gender","Male","0.761","0.0012"
"2015","North Carolina","Gender","Male","0.741","0.0048"
"2015","Durham","Gender","Male","0.769","0.0298"
"2015","Forsyth","Gender","Male","0.779","0.0238"
"2015","Guilford","Gender","Male","0.791","0.025"
"2015","United States","Gender","Female","0.677","0.0012"
"2015","North Carolina","Gender","Female","0.66","0.0048"
"2015","Durham","Gender","Female","0.739","0.0334"
"2015","Forsyth","Gender","Female","0.666","0.0298"
"2015","Guilford","Gender","Female","0.686","0.0262"
"2016","United States","Gender","Male","0.766","0.0012"
"2016","North Carolina","Gender","Male","0.747","0.0048"
"2016","Durham","Gender","Male","0.779","0.0286"
"2016","Forsyth","Gender","Male","0.77","0.0226"
"2016","Guilford","Gender","Male","0.777","0.0238"
"2016","United States","Gender","Female","0.685","0.0012"
"2016","North Carolina","Gender","Female","0.669","0.006"
"2016","Durham","Gender","Female","0.747","0.031"
"2016","Forsyth","Gender","Female","0.671","0.0286"
"2016","Guilford","Gender","Female","0.675","0.0214"
"2017","United States","Gender","Male","0.773","0.0012"
"2017","North Carolina","Gender","Male","0.75","0.006"
"2017","Durham","Gender","Male","0.771","0.0274"
"2017","Forsyth","Gender","Male","0.777","0.031"
"2017","Guilford","Gender","Male","0.792","0.0226"
"2017","United States","Gender","Female","0.691","0.0012"
"2017","North Carolina","Gender","Female","0.687","0.006"
"2017","Durham","Gender","Female","0.736","0.0286"
"2017","Forsyth","Gender","Female","0.681","0.0274"
"2017","Guilford","Gender","Female","0.706","0.0226"
